omega_sim,amplitude_sim,omega_phys,amplitude_phys,energy_ev,qec_gain,improvement,is_sweet_spot
0.004000,4.000000,0.080000,0.080000,5.264000e-11,0.277408,1.914471,1
0.004000,6.400000,0.080000,0.128000,5.264000e-11,0.287431,1.983643,1
0.004000,8.800000,0.080000,0.176000,5.264000e-11,0.262613,1.812368,1
0.004000,11.200000,0.080000,0.224000,5.264000e-11,0.275728,1.902876,1
0.004000,13.600000,0.080000,0.272000,5.264000e-11,0.260895,1.800509,1
0.004000,16.000000,0.080000,0.320000,5.264000e-11,0.236590,1.632779,1
0.006400,4.000000,0.128000,0.080000,8.422400e-11,0.293390,2.024766,1
0.006400,6.400000,0.128000,0.128000,8.422400e-11,0.206239,1.423315,1
0.006400,8.800000,0.128000,0.176000,8.422400e-11,0.181992,1.255976,1
0.006400,11.200000,0.128000,0.224000,8.422400e-11,0.208806,1.441033,1
0.006400,13.600000,0.128000,0.272000,8.422400e-11,0.206817,1.427305,1
0.006400,16.000000,0.128000,0.320000,8.422400e-11,0.343197,2.368504,1
0.008800,4.000000,0.176000,0.080000,1.158080e-10,0.191115,1.318939,1
0.008800,6.400000,0.176000,0.128000,1.158080e-10,0.252697,1.743935,1
0.008800,8.800000,0.176000,0.176000,1.158080e-10,0.180953,1.248811,1
0.008800,11.200000,0.176000,0.224000,1.158080e-10,0.178142,1.229411,1
0.008800,13.600000,0.176000,0.272000,1.158080e-10,0.190221,1.312769,1
0.008800,16.000000,0.176000,0.320000,1.158080e-10,0.225010,1.552859,1
0.011200,4.000000,0.224000,0.080000,1.473920e-10,0.245497,1.694246,1
0.011200,6.400000,0.224000,0.128000,1.473920e-10,0.217930,1.504000,1
0.011200,8.800000,0.224000,0.176000,1.473920e-10,0.199072,1.373851,1
0.011200,11.200000,0.224000,0.224000,1.473920e-10,0.276467,1.907975,1
0.011200,13.600000,0.224000,0.272000,1.473920e-10,0.173541,1.197658,1
0.011200,16.000000,0.224000,0.320000,1.473920e-10,0.161002,1.111121,1
0.013600,4.000000,0.272000,0.080000,1.789760e-10,0.191032,1.318364,1
0.013600,6.400000,0.272000,0.128000,1.789760e-10,0.158596,1.094518,0
0.013600,8.800000,0.272000,0.176000,1.789760e-10,0.195084,1.346329,1
0.013600,11.200000,0.272000,0.224000,1.789760e-10,0.164231,1.133404,1
0.013600,13.600000,0.272000,0.272000,1.789760e-10,0.237845,1.641438,1
0.013600,16.000000,0.272000,0.320000,1.789760e-10,0.283789,1.958510,1
0.016000,4.000000,0.320000,0.080000,2.105600e-10,0.211892,1.462331,1
0.016000,6.400000,0.320000,0.128000,2.105600e-10,0.212671,1.467705,1
0.016000,8.800000,0.320000,0.176000,2.105600e-10,0.217112,1.498349,1
0.016000,11.200000,0.320000,0.224000,2.105600e-10,0.230726,1.592309,1
0.016000,13.600000,0.320000,0.272000,2.105600e-10,0.209735,1.447439,1
0.016000,16.000000,0.320000,0.320000,2.105600e-10,0.203976,1.407698,1
